repeat,tsc,us,vporzmm_vz Cycles,vporzmm_vz Unhalt_GHz
0,10544472,4068.044,27.170,1.932
0,13893742,5360.188,10.371,2.792
0,14023006,5410.058,0.004,2.705
0,14023472,5410.238,0.001,3.307
0,14023880,5410.396,0.001,3.500
0,14024278,5410.549,0.001,3.458
0,14024674,5410.702,0.001,3.455
0,14025070,5410.855,0.001,3.993
0,14025524,5411.030,0.001,3.069
0,14025926,5411.185,0.001,3.516
0,14026320,5411.337,0.001,3.487
0,14026720,5411.491,0.001,3.500
0,14027120,5411.646,0.001,3.468
0,14027516,5411.798,0.001,3.516
0,14027916,5411.953,0.001,3.510
0,14028316,5412.107,0.001,3.461
0,14028712,5412.260,0.001,3.481
0,14029110,5412.413,0.001,3.490
0,14029506,5412.566,0.001,3.497
0,14029902,5412.719,0.001,3.490
0,14030298,5412.872,0.001,3.481
0,14030696,5413.025,0.001,3.513
0,14031094,5413.179,0.001,3.497
0,14031490,5413.331,0.001,3.468
0,14031886,5413.484,0.001,3.503
0,14032282,5413.637,0.001,3.513
0,14032680,5413.791,0.001,3.497
0,14033078,5413.944,0.001,3.468
0,14033472,5414.096,0.001,3.503
0,14033870,5414.250,0.001,3.490
0,14034266,5414.402,0.001,3.497
0,14034664,5414.556,0.001,3.513
0,14035058,5414.708,0.001,3.458
0,14035456,5414.862,0.001,3.513
0,14035854,5415.015,0.001,3.523
0,14036252,5415.169,0.001,3.461
0,14036648,5415.321,0.001,3.503
0,14037046,5415.475,0.001,3.513
0,14037440,5415.627,0.001,3.497
0,14037838,5415.780,0.001,3.490
0,14038234,5415.933,0.001,3.481
0,14038630,5416.086,0.001,3.513
0,14039028,5416.240,0.001,3.497
0,14039422,5416.392,0.001,3.519
0,14039826,5416.547,0.001,3.529
0,14040236,5416.706,0.001,3.484
0,14040648,5416.865,0.001,3.554
0,14041060,5417.024,0.001,3.441
0,14041472,5417.182,0.001,3.529
0,14041882,5417.341,0.001,3.509
0,14042296,5417.500,0.001,3.509
0,14042708,5417.659,0.001,3.441
0,14043120,5417.818,0.001,3.519
0,14043526,5417.975,0.001,3.484
0,14043938,5418.134,0.001,3.509
0,14044350,5418.293,0.001,3.497
0,14044768,5418.454,0.001,3.509
0,14045190,5418.617,0.001,3.484
0,14045602,5418.776,0.001,3.506
0,14046012,5418.934,0.001,3.484
0,14046422,5419.092,0.001,3.519
0,14046830,5419.250,0.001,3.484
0,14047240,5419.408,0.001,3.506
0,14047650,5419.566,0.001,3.484
0,14048062,5419.725,0.001,3.506
0,14048470,5419.882,0.001,3.506
0,14048880,5420.040,0.001,3.506
0,14049292,5420.199,0.001,3.484
0,14049702,5420.358,0.001,3.506
0,14050112,5420.516,0.001,3.506
