repeat,tsc,us,vporzmm_vz Cycles,vporzmm_vz Unhalt_GHz
2,11928,4.602,0.033,3.436
2,20012,7.721,0.026,3.350
2,30010,11.578,0.032,3.472
2,40012,15.437,0.032,3.486
2,50006,19.292,0.032,3.485
2,60004,23.149,0.032,3.490
2,70016,27.012,0.032,3.495
2,80010,30.868,0.032,3.497
2,90008,34.725,0.032,3.500
2,100016,38.586,0.032,3.494
2,110002,42.439,0.032,3.489
2,120018,46.303,0.032,3.487
2,130016,50.160,0.032,3.484
2,140010,54.016,0.032,3.489
2,150006,57.872,0.032,3.493
2,160006,61.730,0.032,3.497
2,170018,65.593,0.032,3.498
2,180012,69.448,0.032,3.496
2,190016,73.308,0.032,3.491
2,200008,77.163,0.032,3.488
2,210006,81.020,0.032,3.485
2,220000,84.876,0.032,3.488
2,230016,88.740,0.032,3.492
2,240018,92.599,0.032,3.496
2,250016,96.456,0.032,3.499
2,260002,100.308,0.032,3.496
2,270016,104.172,0.032,3.493
2,280000,108.024,0.032,3.489
2,290018,111.889,0.032,3.484
2,300008,115.743,0.032,3.486
2,310002,119.598,0.032,3.490
2,320006,123.458,0.032,3.495
2,330016,127.320,0.032,3.499
2,340012,131.176,0.032,3.498
2,350000,135.030,0.032,3.494
2,360000,138.888,0.032,3.489
2,370008,142.749,0.032,3.487
2,380018,146.610,0.032,3.486
2,390002,150.462,0.032,3.489
2,400012,154.324,0.032,3.492
2,410008,158.181,0.032,3.498
2,420000,162.035,0.032,3.499
2,430000,165.893,0.032,3.495
2,440016,169.758,0.032,3.491
2,450004,173.611,0.032,3.487
2,460000,177.467,0.032,3.484
2,470004,181.327,0.032,3.488
2,480016,185.190,0.032,3.492
2,490016,189.048,0.032,3.496
2,500010,192.903,0.032,3.499
2,510012,196.762,0.032,3.495
2,520008,200.618,0.032,3.493
2,530010,204.477,0.032,3.489
2,540014,208.337,0.032,3.484
2,550002,212.190,0.032,3.486
2,560018,216.054,0.032,3.491
2,570004,219.907,0.032,3.495
2,580014,223.769,0.032,3.499
2,590008,227.624,0.032,3.498
2,600000,231.479,0.032,3.493
2,610014,235.343,0.032,3.489
2,620006,239.198,0.032,3.486
2,630016,243.059,0.032,3.485
2,640012,246.916,0.032,3.490
2,650016,250.775,0.032,3.494
2,660014,254.633,0.032,3.497
2,670010,258.489,0.032,3.498
2,680012,262.348,0.032,3.495
2,690012,266.206,0.032,3.491
2,700004,270.061,0.032,3.488
2,710012,273.922,0.032,3.485
2,720000,277.775,0.032,3.488
2,730010,281.637,0.032,3.493
2,740008,285.494,0.032,3.496
2,750018,289.356,0.032,3.500
2,760000,293.207,0.032,3.495
2,770012,297.070,0.032,3.493
2,780014,300.928,0.032,3.487
2,790014,304.786,0.032,3.484
2,800002,308.640,0.032,3.488
2,810016,312.503,0.032,3.491
2,820016,316.361,0.032,3.495
2,830010,320.217,0.032,3.499
2,840006,324.073,0.032,3.497
2,850014,327.934,0.032,3.492
2,860018,331.794,0.032,3.489
2,870016,335.651,0.032,3.485
2,880006,339.505,0.032,3.488
2,890020,343.369,0.032,3.488
2,900004,347.220,0.032,3.495
2,910004,351.078,0.032,3.499
2,920016,354.941,0.032,3.499
2,930008,358.796,0.032,3.493
2,940008,362.654,0.032,3.490
2,950000,366.509,0.032,3.486
2,960010,370.371,0.032,3.485
2,970012,374.229,0.032,3.490
2,980002,378.084,0.032,3.494
2,990012,381.945,0.032,3.496
2,1000002,385.800,0.032,3.500
2,1010008,389.660,0.032,3.495
2,1020004,393.516,0.032,3.492
2,1030016,397.379,0.032,3.488
2,1040012,401.235,0.032,3.484
2,1050002,405.089,0.032,3.487
2,1060000,408.947,0.032,3.492
2,1070002,412.805,0.032,3.497
2,1080016,416.669,0.032,3.499
2,1090002,420.521,0.032,3.497
2,1100014,424.384,0.032,3.492
2,1110002,428.237,0.032,3.488
2,1120018,432.102,0.032,3.486
2,1130012,435.957,0.032,3.486
2,1140012,439.815,0.032,3.490
2,1150016,443.675,0.032,3.496
2,1160008,447.530,0.032,3.498
2,1170006,451.387,0.032,3.498
2,1180014,455.248,0.032,3.493
2,1190012,459.105,0.032,3.490
2,1200010,462.962,0.032,3.486
2,1210002,466.817,0.032,3.484
2,1220004,470.676,0.032,3.492
2,1230016,474.539,0.032,3.492
2,1240014,478.396,0.032,3.498
2,1250010,482.252,0.032,3.499
2,1260016,486.113,0.032,3.494
2,1270018,489.971,0.032,3.491
2,1280004,493.824,0.032,3.487
2,1290000,497.680,0.032,3.484
2,1300006,501.541,0.032,3.490
2,1310002,505.397,0.032,3.492
2,1320002,509.255,0.032,3.495
2,1330014,513.118,0.032,3.499
2,1340012,516.975,0.032,3.495
2,1350008,520.831,0.032,3.493
2,1360008,524.689,0.032,3.488
2,1370002,528.545,0.032,3.484
2,1380010,532.406,0.032,3.488
2,1390010,536.264,0.032,3.490
2,1400014,540.124,0.032,3.496
2,1410006,543.979,0.032,3.498
2,1420010,547.838,0.032,3.497
2,1430002,551.693,0.032,3.492
2,1440004,555.552,0.032,3.490
2,1450014,559.414,0.032,3.485
2,1460006,563.269,0.032,3.487
2,1470004,567.126,0.032,3.489
2,1480010,570.986,0.032,3.494
2,1490006,574.842,0.032,3.498
2,1500000,578.698,0.032,3.499
2,1510006,582.558,0.032,3.493
2,1520004,586.416,0.032,3.492
2,1530016,590.278,0.032,3.487
2,1540016,594.136,0.032,3.484
2,1550004,597.990,0.032,3.489
2,1560000,601.846,0.032,3.493
2,1570002,605.705,0.032,3.508
2,1580010,609.566,0.032,3.488
2,1590014,613.425,0.032,3.495
2,1600000,617.278,0.032,3.492
2,1610010,621.140,0.032,3.487
2,1620014,624.999,0.032,3.485
2,1630004,628.854,0.032,3.487
2,1640004,632.712,0.032,3.492
2,1650008,636.571,0.032,3.495
2,1660004,640.427,0.032,3.498
2,1670006,644.286,0.032,3.497
2,1680004,648.143,0.032,3.493
2,1690008,652.003,0.032,3.488
2,1700012,655.863,0.032,3.484
2,1710010,659.720,0.032,3.487
2,1720014,663.579,0.032,3.491
2,1730006,667.434,0.032,3.495
2,1740008,671.293,0.032,3.498
2,1750010,675.152,0.032,3.499
2,1760000,679.006,0.032,3.493
2,1770004,682.865,0.032,3.489
2,1780000,686.722,0.032,3.486
2,1790000,690.580,0.032,3.485
2,1800006,694.440,0.032,3.490
2,1810018,698.303,0.032,3.494
2,1820006,702.156,0.032,3.496
2,1830006,706.014,0.032,3.499
2,1840012,709.874,0.032,3.496
2,1850020,713.735,0.032,3.490
2,1860010,717.590,0.032,3.488
2,1870012,721.448,0.032,3.485
2,1880002,725.302,0.032,3.488
2,1890000,729.160,0.032,3.492
2,1900004,733.019,0.032,3.498
2,1910004,736.877,0.032,3.498
2,1920010,740.737,0.032,3.496
2,1930006,744.594,0.032,3.492
2,1940014,748.455,0.032,3.489
2,1950000,752.308,0.032,3.484
2,1960010,756.169,0.032,3.488
2,1970010,760.027,0.032,3.492
2,1980000,763.882,0.032,3.494
2,1990016,767.746,0.032,3.498
2,2000014,771.603,0.032,3.498
2,2010014,775.461,0.032,3.493
2,2020000,779.313,0.032,3.489
2,2030016,783.178,0.032,3.486
2,2040014,787.035,0.032,3.485
2,2050018,790.894,0.032,3.490
2,2060010,794.749,0.032,3.494
2,2070008,798.607,0.032,3.497
2,2080008,802.465,0.032,3.499
2,2090016,806.326,0.032,3.494
2,2100004,810.179,0.032,3.490
2,2110004,814.037,0.032,3.486
2,2120004,817.895,0.032,3.484
2,2130010,821.755,0.032,3.490
2,2140006,825.612,0.032,3.493
2,2150012,829.472,0.032,3.497
2,2160006,833.328,0.032,3.498
2,2170014,837.189,0.032,3.496
2,2180010,841.045,0.032,3.491
2,2190004,844.901,0.032,3.488
2,2200004,848.759,0.032,3.485
2,2210016,852.621,0.032,3.488
2,2220014,856.479,0.032,3.492
2,2230008,860.334,0.032,3.494
2,2240002,864.190,0.032,3.500
2,2250002,868.048,0.032,3.497
2,2260000,871.905,0.032,3.492
2,2270002,875.764,0.032,3.489
2,2280002,879.622,0.032,3.485
2,2290004,883.481,0.032,3.486
2,2300008,887.340,0.032,3.490
2,2310000,891.195,0.032,3.494
2,2320016,895.059,0.032,3.499
2,2330016,898.917,0.032,3.497
2,2340010,902.773,0.032,3.495
2,2350010,906.631,0.032,3.490
2,2360006,910.487,0.032,3.485
2,2370004,914.345,0.032,3.485
2,2380012,918.206,0.032,3.491
2,2390006,922.061,0.032,3.494
2,2400014,925.922,0.032,3.496
2,2410014,929.780,0.032,3.499
2,2420008,933.636,0.032,3.496
2,2430008,937.494,0.032,3.491
2,2440002,941.350,0.032,3.486
2,2452120,946.025,0.039,3.491
2,2460004,949.066,0.026,3.479
2,2470010,952.927,0.032,3.491
2,2480002,956.782,0.032,3.496
2,2490000,960.639,0.032,3.500
2,2500002,964.498,0.032,3.496
2,2510014,968.360,0.032,3.492
2,2520016,972.219,0.032,3.489
2,2530012,976.075,0.032,3.484
2,2540016,979.935,0.032,3.487
2,2550010,983.791,0.032,3.492
2,2560012,987.649,0.032,3.494
2,2570004,991.504,0.032,3.497
2,2580018,995.368,0.032,3.499
2,2590012,999.223,0.032,3.492
2,2600014,1003.082,0.032,3.491
2,2610008,1006.938,0.032,3.486
2,2620018,1010.800,0.032,3.486
2,2630014,1014.656,0.032,3.490
